exp_dir,data_path,mol_emb_dim,neg_sample,gd_type,lr,emb_dim,num_epochs,psearch,val_std,dropout,gd_deg,num_layers,batch_size,test_std,metric,val_method,num_bases,eval_batch_size,JK,params,num_workers,full_val,fold,reach_dist,val_mean,train_data_set,test_mean,l2,full_test
./saved_exp/2023-10-13 21:51:15.547203,./data,32,,HorGD,0.0001,32,100,True,0.0,0,False,4,64,0.007637626158259738,acc,,,64,last,"[['num_layers', 3]]",20,"{'val_loss': [0.016975058242678642, 0.023437561467289925, 0.048805058002471924, 0.037277474999427795, 0.027874212712049484, 0.059787943959236145, 0.05487167090177536, 0.05475179851055145, 0.041076090186834335, 0.017082542181015015], 'acc': [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]}",10,3,1.0,exp,0.9966666666666667,0,"{'test_loss': [0.017898622900247574, 0.020683269947767258, 0.04411514103412628, 0.04813661426305771, 0.024572283029556274, 0.05301171913743019, 0.0959692969918251, 0.0522192120552063, 0.039854422211647034, 0.017943479120731354], 'acc': [1.0, 1.0, 1.0, 0.9916666666666667, 1.0, 1.0, 0.975, 1.0, 1.0, 1.0]}"
./saved_exp/2023-10-24 14:35:09.320424,./data,32,1,HorGD,0.0001,32,100,True,0.0,0,False,2,64,0.0,h10,ind,4,64,last,"[['num_layers', 2]]",20,"{'val_loss': 0.6104112863540649, 'h1000': 1.0, 'h100': 1.0, 'h10': 1.0, 'h3': 1.0, 'h1': 0.7365819209039548, 'mrr': 0.8682909604519774}",10,3,1.0,fb237_v4,1.0,0,"{'val_loss': 0.6012147665023804, 'h1000': 1.0, 'h100': 1.0, 'h10': 1.0, 'h3': 1.0, 'h1': 0.723314606741573, 'mrr': 0.8616573033707865}"
./saved_exp/2023-10-24 13:11:44.964564,./data,32,,VerGD,0.0001,32,100,False,0.022110831935702676,0,False,2,64,0.037831864876053896,acc,,,64,last,"[['num_layers', 2]]",20,"{'val_loss': [0.7433435916900635, 0.8116496801376343, 0.6957978010177612, 0.7081718444824219, 0.7394983768463135, 0.7792084813117981, 0.7261748313903809, 0.7341328859329224, 0.7150759696960449, 0.7757002115249634], 'acc': [0.48333333333333334, 0.5, 0.5083333333333333, 0.48333333333333334, 0.5083333333333333, 0.5, 0.525, 0.44166666666666665, 0.5166666666666667, 0.5]}",10,3,0.4966666666666667,exp,0.49416666666666664,0,"{'test_loss': [0.7489845156669617, 0.7796519994735718, 0.6976685523986816, 0.696265459060669, 0.7602412104606628, 0.7780648469924927, 0.7732009887695312, 0.7162231206893921, 0.697198212146759, 0.79477858543396], 'acc': [0.48333333333333334, 0.525, 0.4666666666666667, 0.5333333333333333, 0.5, 0.5, 0.4083333333333333, 0.55, 0.475, 0.5]}"
./saved_exp/2023-10-24 11:50:14.526928,./data,32,,VerGD,0.001,32,100,False,0.019999999999999997,0,False,2,16,0.019999999999999997,acc,,,16,last,"[['num_layers', 2]]",20,"{'val_loss': [1.7043908834457397, 1.7649264335632324, 1.6765559911727905, 1.7444525957107544, 1.9259694814682007, 1.6962286233901978, 1.7032610177993774, 1.674918293952942, 1.801300287246704, 1.6991456747055054], 'acc': [0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.26666666666666666, 0.3333333333333333]}",10,3,0.32666666666666666,csl,0.32666666666666666,0,"{'test_loss': [1.7043908834457397, 1.7649264335632324, 1.6765559911727905, 1.7444525957107544, 1.9259694814682007, 1.6962286233901978, 1.7032610177993774, 1.674913763999939, 1.801300287246704, 1.6991456747055054], 'acc': [0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.26666666666666666, 0.3333333333333333]}"
./saved_exp/2023-10-24 14:35:09.361442,./data,32,1,HorGD,0.0001,32,100,True,0.0,0,False,2,64,0.0,h10,ind,4,64,last,"[['num_layers', 2]]",20,"{'val_loss': 0.5277531147003174, 'h1000': 1.0, 'h100': 1.0, 'h10': 1.0, 'h3': 1.0, 'h1': 0.7313432835820896, 'mrr': 0.8656716417910447}",10,3,1.0,fb237_v2,1.0,0,"{'val_loss': 0.5326396226882935, 'h1000': 1.0, 'h100': 1.0, 'h10': 1.0, 'h3': 1.0, 'h1': 0.7384937238493724, 'mrr': 0.8692468619246861}"
./saved_exp/2023-10-13 21:05:55.479942,./data,32,,HorGD,0.001,32,100,False,0.0,0,False,4,16,0.0,acc,,,16,last,"[['num_layers', 4]]",20,"{'val_loss': [0.01100462768226862, 0.019942987710237503, 0.15675124526023865, 0.0005883491248823702, 0.09276716411113739, 0.03737565129995346, 0.0012151784030720592, 0.005395026411861181, 0.11515811830759048, 0.08568152040243149], 'acc': [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]}",10,3,1.0,csl,1.0,0,"{'test_loss': [0.01100462768226862, 0.019942987710237503, 0.15675124526023865, 0.0005883491248823702, 0.09276716411113739, 0.03737565129995346, 0.0012151784030720592, 0.00539504224434495, 0.11515811830759048, 0.08568152040243149], 'acc': [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]}"
./saved_exp/2023-10-24 14:38:27.702728,./data,32,,HorGD,0.001,32,100,False,0.03265986323710904,0,False,3,16,0.03265986323710904,acc,,,16,last,"[['num_layers', 3]]",20,"{'val_loss': [0.8206022381782532, 0.7771402597427368, 0.9192054271697998, 0.7508403658866882, 1.0087248086929321, 0.786849856376648, 0.7589970827102661, 0.8316071033477783, 0.7965988516807556, 0.7568656802177429], 'acc': [0.6, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6, 0.6, 0.6, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666]}",10,3,0.64,csl,0.64,0,"{'test_loss': [0.8206022381782532, 0.7771402597427368, 0.9192054271697998, 0.7508403658866882, 1.0087248086929321, 0.786849856376648, 0.7589970827102661, 0.8316071033477783, 0.7965988516807556, 0.7568656802177429], 'acc': [0.6, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6, 0.6, 0.6, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666]}"
./saved_exp/2023-10-24 14:35:09.320429,./data,32,1,HorGD,0.0001,32,100,True,0.0,0,False,2,64,0.0,h10,ind,4,64,last,"[['num_layers', 2]]",20,"{'val_loss': 0.5884517431259155, 'h1000': 1.0, 'h100': 1.0, 'h10': 1.0, 'h3': 1.0, 'h1': 0.7281553398058253, 'mrr': 0.8640776699029126}",10,3,1.0,fb237_v1,1.0,0,"{'val_loss': 0.5854321122169495, 'h1000': 1.0, 'h100': 1.0, 'h10': 1.0, 'h3': 1.0, 'h1': 0.7317073170731707, 'mrr': 0.8658536585365854}"
./saved_exp/2023-10-24 18:04:04.228592,./data,32,,VerGD,0.0001,32,100,False,0.03096817362677008,0,True,2,64,0.039095680352466335,acc,,,64,last,"[['num_layers', 2]]",20,"{'val_loss': [0.7168532609939575, 0.704243540763855, 0.738618791103363, 0.7264055013656616, 0.7033275365829468, 0.6880697011947632, 0.7006582617759705, 0.6869439482688904, 0.7845708131790161, 0.7022563219070435], 'acc': [0.5166666666666667, 0.5583333333333333, 0.5, 0.5083333333333333, 0.5166666666666667, 0.5916666666666667, 0.475, 0.5416666666666666, 0.5416666666666666, 0.525]}",10,3,0.5275000000000001,exp,0.4808333333333333,0,"{'test_loss': [0.739037036895752, 0.7513824105262756, 0.7177242040634155, 0.7263494729995728, 0.6987308263778687, 0.7151974439620972, 0.6921331286430359, 0.7092370390892029, 0.8446646928787231, 0.7141426801681519], 'acc': [0.475, 0.4083333333333333, 0.5, 0.5166666666666667, 0.5166666666666667, 0.43333333333333335, 0.5416666666666666, 0.45, 0.475, 0.49166666666666664]}"
./saved_exp/2023-10-09 22:48:04.119139,./data,32,,HorGD,0.0001,32,100,True,0.0,0,False,2,64,0.0,auc,,,64,last,"[['num_layers', 5]]",20,"{'val_loss': 0.08334807306528091, 'auc': 0.7605299578679207, 'apr': 0.263498479370642}",10,3,0.7605299578679207,ogbg-molhiv,0.7085845613086387,0,"{'test_loss': 0.11689463257789612, 'auc': 0.7085845613086387, 'apr': 0.2959624057312447}"
./saved_exp/2023-10-09 22:57:39.013050,./data,32,,HorGD,0.001,32,100,True,0.0,0,False,2,4096,0.0,h50,,,512,last,"[['num_layers', 2]]",32,"{'val_loss': 0.6713752746582031, 'apr': 0.9051679084137221, 'auc': 0.9000618797017509, 'h50': 0.6463284734704746}",10,3,0.6463284734704746,ogbl-collab,0.5398130760430832,0,"{'val_loss': 0.7151784896850586, 'apr': 0.8607607551855531, 'auc': 0.8815270104038507, 'h50': 0.5398130760430832}"
./saved_exp/2023-10-24 14:35:09.320639,./data,32,1,HorGD,0.0001,32,100,True,0.0,0,False,2,64,0.0,h10,ind,4,64,last,"[['num_layers', 2]]",20,"{'val_loss': 0.6440577507019043, 'h1000': 1.0, 'h100': 1.0, 'h10': 1.0, 'h3': 1.0, 'h1': 0.7240184757505773, 'mrr': 0.8620092378752887}",10,3,1.0,fb237_v3,1.0,0,"{'val_loss': 0.6364914178848267, 'h1000': 1.0, 'h100': 1.0, 'h10': 1.0, 'h3': 1.0, 'h1': 0.7132947976878613, 'mrr': 0.8566473988439306}"
