full_test,params,train_data_set,psearch,test_mean,gd_type,reach_dist,emb_dim,num_bases,lr,num_workers,val_mean,val_std,val_method,JK,dropout,l2,gd_deg,fold,eval_batch_size,batch_size,exp_dir,neg_sample,num_epochs,full_val,mol_emb_dim,metric,test_std,num_layers,data_path
"{'val_loss': 0.08108461648225784, 'h1000': 1.0, 'h100': 1.0, 'h10': 0.7148876404494382, 'h3': 0.5056179775280899, 'h1': 0.35463483146067415, 'mrr': 0.47001402803905085}","[['num_layers', 5]]",fb237_v4,True,0.7148876404494382,VerGD,3,32,4,0.0001,20,0.7040960451977402,0.0,ind,last,0,0,False,10,64,64,./saved_exp/2023-10-26 13:00:48.391720,50,100,"{'val_loss': 0.08110279589891434, 'h1000': 1.0, 'h100': 1.0, 'h10': 0.7040960451977402, 'h3': 0.5035310734463276, 'h1': 0.3721751412429379, 'mrr': 0.4777722307693906}",32,h10,0.0,2,./data
"{'val_loss': 0.6939475536346436, 'h1000': 1.0, 'h100': 1.0, 'h10': 1.0, 'h3': 1.0, 'h1': 0.6776859504132231, 'mrr': 0.8388429752066116}","[['num_layers', 2]]",WN18RR_v3,True,1.0,VerGD,3,32,4,0.0001,20,1.0,0.0,ind,last,0,0,False,10,64,64,./saved_exp/2023-10-25 18:30:48.041323,1,100,"{'val_loss': 0.7538465261459351, 'h1000': 1.0, 'h100': 1.0, 'h10': 1.0, 'h3': 1.0, 'h1': 0.6579925650557621, 'mrr': 0.828996282527881}",32,h10,0.0,2,./data
"{'test_loss': [0.015554588288068771, 0.05619450658559799, 0.04223118722438812, 0.04476115107536316, 0.06261246651411057, 0.032988738268613815, 0.008458167314529419, 0.02939409390091896, 0.010679332539439201, 0.015344840474426746], 'acc': [1.0, 1.0, 0.9916666666666667, 1.0, 0.9916666666666667, 0.9916666666666667, 1.0, 1.0, 1.0, 1.0]}","[['num_layers', 3]]",exp,False,0.9974999999999999,VerGD,3,32,,0.0001,20,1.0,0.0,,last,0,0,True,10,64,64,./saved_exp/2023-10-24 18:04:04.233064,,100,"{'val_loss': [0.016727259382605553, 0.05902700498700142, 0.04933138191699982, 0.04271869361400604, 0.05528205633163452, 0.04059024900197983, 0.010560226626694202, 0.032170530408620834, 0.01372447982430458, 0.017093224450945854], 'acc': [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]}",32,acc,0.0038188130791298527,3,./data
"{'val_loss': 0.034371692687273026, 'h1000': 1.0, 'h100': 1.0, 'h10': 0.8321995464852607, 'h3': 0.8208616780045351, 'h1': 0.764172335600907, 'mrr': 0.800399104942349}","[['num_layers', 4]]",WN18RR_v2,True,0.8321995464852607,HorGD,3,32,4,0.0001,20,0.8686131386861314,0.0,ind,last,0,0,False,10,64,64,./saved_exp/2023-10-26 15:51:00.421346,50,100,"{'val_loss': 0.03040202148258686, 'h1000': 1.0, 'h100': 1.0, 'h10': 0.8686131386861314, 'h3': 0.8418491484184915, 'h1': 0.8029197080291971, 'mrr': 0.8310811615961813}",32,h10,0.0,2,./data
"{'val_loss': 0.10592170804738998, 'h1000': 1.0, 'h100': 1.0, 'h10': 0.6634146341463415, 'h3': 0.45365853658536587, 'h1': 0.32682926829268294, 'mrr': 0.43218734566155725}","[['num_layers', 3]]",fb237_v1,True,0.6634146341463415,VerGD,3,32,4,0.0001,20,0.6893203883495146,0.0,ind,last,0,0,False,10,64,64,./saved_exp/2023-10-26 12:06:09.919638,50,100,"{'val_loss': 0.10701986402273178, 'h1000': 1.0, 'h100': 1.0, 'h10': 0.6893203883495146, 'h3': 0.49029126213592233, 'h1': 0.3640776699029126, 'mrr': 0.4682206334347429}",32,h10,0.0,2,./data
"{'test_loss': [1.6969256401062012, 1.6789658069610596, 1.8960163593292236, 1.919477939605713, 1.7039214372634888, 1.71349036693573, 2.0613162517547607, 1.6959444284439087, 1.7204737663269043, 1.7172203063964844], 'acc': [0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333]}","[['num_layers', 2]]",csl,False,0.33333333333333337,VerGD,3,32,,0.001,20,0.33333333333333337,5.551115123125783e-17,,last,0,0,True,10,16,16,./saved_exp/2023-10-24 18:04:04.278541,,100,"{'val_loss': [1.6969256401062012, 1.6789658069610596, 1.8960163593292236, 1.919477939605713, 1.7039214372634888, 1.71349036693573, 2.061330795288086, 1.6959444284439087, 1.7204737663269043, 1.7172203063964844], 'acc': [0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333]}",32,acc,5.551115123125783e-17,2,./data
"{'val_loss': [0.9295853972434998, 0.7685920000076294], 'acc': [0.6428571428571429, 0.7142857142857143]}","[['num_layers', 2]]",brazil_airport,True,0.6785714285714286,HorGD,3,32,,0.0001,20,0.8076923076923077,0.038461538461538436,,last,0,0,False,10,64,64,./saved_exp/2023-10-09 23:28:46.380375,,200,"{'val_loss': [0.6763983964920044, 0.5906780958175659], 'acc': [0.7692307692307693, 0.8461538461538461]}",32,acc,0.0357142857142857,2,./data
"{'val_loss': 0.09323754161596298, 'h1000': 1.0, 'h100': 1.0, 'h10': 0.7761506276150628, 'h3': 0.5439330543933054, 'h1': 0.3514644351464435, 'mrr': 0.48786859379846137}","[['num_layers', 3]]",fb237_v2,True,0.7761506276150628,HorGD,3,32,4,0.0001,20,0.7633262260127932,0.0,ind,last,0,0,False,10,64,64,./saved_exp/2023-10-26 12:59:11.397843,50,100,"{'val_loss': 0.09370945394039154, 'h1000': 1.0, 'h100': 1.0, 'h10': 0.7633262260127932, 'h3': 0.5159914712153518, 'h1': 0.302771855010661, 'mrr': 0.451188668450288}",32,h10,0.0,2,./data
"{'test_loss': 0.053200822323560715, 'auc': 0.8271208360694818, 'apr': 0.1587036643233125}","[['num_layers', 2]]",ogbg-molpcba,True,0.1587036643233125,VerGD,3,32,,0.0001,20,0.1694386681733744,0.0,,last,0,0,False,10,64,64,./saved_exp/2023-10-26 15:34:18.974048,,100,"{'val_loss': 0.05075209215283394, 'auc': 0.8338359126560426, 'apr': 0.1694386681733744}",32,apr,0.0,2,./data
"{'val_loss': [0.7594371438026428, 0.9001460671424866], 'acc': [0.7857142857142857, 0.7857142857142857]}","[['num_layers', 2], ['train_data_set', 'brazil_airport'], ['gd_deg', True]]",brazil_airport,True,0.7857142857142857,VerGD,3,32,,0.0001,20,0.9230769230769231,0.0,,last,0,0,False,10,64,64,./saved_exp/2023-10-13 21:05:55.480775,,200,"{'val_loss': [0.6258538365364075, 0.5986773371696472], 'acc': [0.9230769230769231, 0.9230769230769231]}",32,acc,0.0,2,./data
"{'val_loss': 1.0574862957000732, 'h1000': 1.0, 'h100': 1.0, 'h10': 1.0, 'h3': 1.0, 'h1': 0.53, 'mrr': 0.765}","[['num_layers', 2]]",nell_v1,True,1.0,VerGD,3,32,4,0.0001,20,1.0,0.0,ind,last,0,0,False,10,64,64,./saved_exp/2023-10-25 18:31:56.658937,1,100,"{'val_loss': 1.0916261672973633, 'h1000': 1.0, 'h100': 1.0, 'h10': 1.0, 'h3': 1.0, 'h1': 0.42574257425742573, 'mrr': 0.7128712871287128}",32,h10,0.0,2,./data
"{'test_loss': 0.053185462951660156, 'auc': 0.8262170934547409, 'apr': 0.15660477857105526}","[['num_layers', 2]]",ogbg-molpcba,True,0.15660477857105526,VerGD,3,32,,0.0001,20,0.16426259696835424,0.0,,last,0,0,True,10,64,64,./saved_exp/2023-10-26 11:30:29.885946,,100,"{'val_loss': 0.05073093995451927, 'auc': 0.8293190862169546, 'apr': 0.16426259696835424}",32,apr,0.0,2,./data
"{'val_loss': 0.970345139503479, 'h1000': 1.0, 'h100': 1.0, 'h10': 1.0, 'h3': 1.0, 'h1': 0.51, 'mrr': 0.755}","[['num_layers', 2]]",nell_v1,True,1.0,HorGD,3,32,4,0.0001,20,1.0,0.0,ind,last,0,0,False,10,64,64,./saved_exp/2023-10-25 21:50:23.792024,1,100,"{'val_loss': 1.1153324842453003, 'h1000': 1.0, 'h100': 1.0, 'h10': 1.0, 'h3': 1.0, 'h1': 0.45544554455445546, 'mrr': 0.7277227722772277}",32,h10,0.0,2,./data
